Date,Price,Open,High,Low,Vol.,Change %
12/01/2014,72.25,69.23,72.4,69.23,5.66M,4.77%
11/28/2014,68.96,66.68,69.23,66.92,2.97M,2.41%
11/27/2014,67.34,67.79,67.79,67.31,381.69K,-0.49%
11/26/2014,67.67,67.31,67.79,66.84,679.65K,1.41%
11/25/2014,66.73,67.45,67.47,66.03,1.98M,-1.56%
11/24/2014,67.79,68.64,68.64,67.73,80.60K,-0.67%
11/21/2014,68.25,68.26,68.75,67.88,993.73K,0.03%
11/20/2014,68.23,68.75,68.76,67.79,804.45K,-1.39%
11/19/2014,69.19,68.75,69.71,67.79,3.42M,1.14%
11/18/2014,68.41,68.25,68.7,67.69,1.87M,0.81%
11/17/2014,67.86,67.69,68.22,66.97,1.88M,1.13%
11/14/2014,67.1,67.26,68.25,66.85,2.80M,-0.24%
11/13/2014,67.26,66.33,67.74,66.33,9.03M,1.91%
11/12/2014,66.0,66.78,67.16,65.38,2.45M,-0.78%
11/11/2014,66.52,66.83,66.83,66.25,1.31M,-0.31%
11/10/2014,66.73,65.86,66.83,65.48,2.98M,1.55%
11/07/2014,65.71,65.85,66.87,65.39,4.88M,0.11%
11/06/2014,65.64,63.75,66.88,63.27,5.96M,3.05%
11/05/2014,63.7,63.89,64.16,63.08,1.74M,0.11%
10/31/2014,63.63,62.64,63.84,62.36,1.65M,1.58%
10/30/2014,62.64,62.31,63.75,61.92,2.21M,0.29%
10/29/2014,62.46,63.96,63.96,62.21,2.25M,-3.09%
10/28/2014,64.45,62.79,65.34,62.67,2.00M,2.96%
10/27/2014,62.6,62.5,63.35,62.16,606.85K,0.05%
10/24/2014,62.57,61.63,63.36,61.63,407.17K,1.13%
10/23/2014,61.87,61.06,62.5,61.08,1.13M,1.48%
10/22/2014,60.97,62.5,62.5,60.86,692.13K,-2.37%
10/21/2014,62.45,62.5,63.45,62.02,589.17K,0.27%
10/20/2014,62.28,62.98,62.98,62.02,206.44K,-1.11%
10/17/2014,62.98,63.46,63.46,62.23,176.28K,-0.30%
10/16/2014,63.17,62.88,63.4,62.88,334.89K,0.33%
10/15/2014,62.96,62.88,63.17,62.5,2.86M,0.14%
10/14/2014,62.87,62.98,63.17,62.5,442.01K,0.02%
10/13/2014,62.86,62.74,62.9,62.5,331.77K,0.24%
10/10/2014,62.71,62.6,62.79,62.4,451.89K,0.18%
10/09/2014,62.6,62.5,62.64,62.49,228.28K,0.37%
10/03/2014,62.37,61.25,62.57,61.25,1.29M,1.70%
10/02/2014,61.33,61.54,61.59,60.96,489.33K,-0.31%
10/01/2014,61.52,61.43,61.78,61.08,1.11M,0.00%
09/30/2014,61.52,59.61,61.54,59.37,1.36M,2.36%
09/29/2014,60.1,61.83,61.83,59.14,1.19M,-8.47%
09/26/2014,65.66,65.37,65.86,64.9,1.88M,0.92%
09/25/2014,65.06,65.38,65.38,64.9,458.13K,-0.09%
09/24/2014,65.12,65.29,65.72,65.0,290.16K,-0.14%
09/23/2014,65.21,64.43,65.58,63.46,778.45K,0.96%
09/22/2014,64.59,64.9,65.0,64.33,939.13K,-0.75%
09/19/2014,65.08,64.9,65.36,64.71,300.04K,0.23%
09/18/2014,64.93,65.0,65.29,64.81,549.13K,0.02%
09/17/2014,64.92,64.98,65.1,64.44,1.04M,0.02%
09/16/2014,64.91,64.89,65.0,64.89,286.00K,0.03%
09/15/2014,64.89,64.42,64.9,63.99,226.20K,0.43%
09/12/2014,64.61,64.9,65.1,63.99,944.33K,-0.37%
09/11/2014,64.85,64.17,65.0,64.04,2.08M,1.42%
09/10/2014,63.94,63.27,64.37,63.27,825.25K,0.77%
09/09/2014,63.45,62.02,64.61,62.02,2.92M,1.91%
09/08/2014,62.26,62.02,62.5,61.97,397.81K,0.71%
09/05/2014,61.82,62.44,62.49,61.54,1.11M,-0.99%
09/04/2014,62.44,63.26,63.39,62.02,760.77K,-1.17%
09/03/2014,63.18,63.7,63.75,62.32,923.01K,-0.33%
09/02/2014,63.39,61.15,63.65,61.15,2.07M,3.95%
09/01/2014,60.98,59.81,61.15,59.33,373.37K,0.93%
08/29/2014,60.42,60.82,61.53,59.62,868.41K,0.55%
08/28/2014,60.09,59.47,60.43,59.47,295.36K,-0.60%
08/27/2014,60.45,60.14,60.52,59.14,678.09K,-0.21%
08/26/2014,60.58,60.58,60.91,60.39,748.29K,-0.20%
08/25/2014,60.7,60.67,61.54,60.53,239.20K,-0.57%
08/22/2014,61.05,60.62,61.49,60.24,562.65K,0.46%
08/21/2014,60.77,61.06,61.8,60.58,1.13M,-0.05%
08/20/2014,60.8,58.89,61.29,58.89,1.34M,2.65%
08/19/2014,59.23,56.79,60.29,56.79,1.77M,2.55%
08/18/2014,57.76,57.69,58.85,56.73,1.03M,-1.26%
08/15/2014,58.5,57.2,59.03,56.97,565.77K,2.99%
08/13/2014,56.8,55.77,57.64,55.72,633.37K,1.10%
08/12/2014,56.18,55.29,57.11,55.29,1.95M,1.44%
08/11/2014,55.38,55.3,56.73,54.88,3.99M,-4.14%
08/08/2014,57.77,58.85,58.85,57.69,3.14M,-1.42%
08/07/2014,58.6,58.6,59.13,57.69,2.24M,0.29%
08/06/2014,58.43,58.94,59.47,58.41,462.29K,-1.08%
08/05/2014,59.07,59.73,59.78,58.94,556.41K,-1.45%
08/04/2014,59.94,60.14,60.58,59.42,1.18M,-1.48%
07/28/2014,60.84,60.87,61.54,59.85,2.18M,-1.02%
07/24/2014,61.47,60.6,61.54,60.6,670.81K,0.79%
07/23/2014,60.99,60.38,61.06,60.34,365.05K,0.84%
07/22/2014,60.48,61.06,61.06,60.35,587.61K,-1.22%
07/21/2014,61.23,61.25,61.63,60.72,1.15M,0.16%
07/18/2014,61.13,60.6,61.25,60.57,617.25K,0.16%
07/17/2014,61.03,59.95,61.06,59.95,1.61M,1.06%
07/16/2014,60.39,59.71,60.56,59.6,799.77K,0.85%
07/15/2014,59.88,59.61,60.19,59.37,301.60K,0.22%
07/14/2014,59.75,57.93,60.04,57.93,970.33K,2.95%
07/11/2014,58.04,57.93,58.11,57.93,28.60K,0.02%
07/10/2014,58.03,57.99,58.36,57.85,212.68K,-0.33%
07/09/2014,58.22,58.83,58.75,58.17,112.84K,-1.04%
07/08/2014,58.83,59.13,59.13,58.17,261.56K,-0.52%
07/07/2014,59.14,59.61,59.61,58.89,177.84K,-0.81%
07/04/2014,59.62,59.56,60.1,59.13,1.06M,0.57%
07/03/2014,59.28,58.4,60.09,58.32,2.36M,1.65%
07/02/2014,58.32,56.83,59.12,56.83,2.21M,2.14%
07/01/2014,57.1,56.68,57.21,56.63,391.57K,1.10%
06/30/2014,56.48,55.77,56.78,55.55,1.24M,1.00%
06/27/2014,55.92,55.48,56.01,55.29,426.93K,0.77%
06/26/2014,55.49,55.77,55.77,55.3,237.64K,0.27%
06/25/2014,55.34,56.01,56.01,55.29,1.57M,-0.91%
06/24/2014,55.85,55.29,55.97,55.05,1.25M,1.05%
06/23/2014,55.27,55.34,55.47,54.57,677.57K,0.49%
06/20/2014,55.0,54.59,55.31,54.34,1.42M,0.18%
06/19/2014,54.9,54.84,55.29,54.57,1.64M,-0.33%
06/18/2014,55.08,54.81,55.34,54.57,1.69M,0.57%
06/17/2014,54.77,54.81,55.05,54.34,2.49M,0.00%
06/16/2014,54.77,54.35,55.1,54.33,733.73K,0.26%
06/13/2014,54.63,54.92,54.95,54.58,990.61K,-0.80%
06/12/2014,55.07,54.9,55.17,54.85,824.21K,0.33%
06/11/2014,54.89,54.75,55.17,54.61,1.40M,0.60%
06/10/2014,54.56,54.37,55.53,53.56,2.60M,0.31%
06/09/2014,54.39,54.46,54.81,54.34,780.01K,-0.80%
06/06/2014,54.83,54.81,55.0,54.42,644.29K,-0.13%
06/05/2014,54.9,55.0,55.05,54.5,424.85K,0.62%
06/04/2014,54.56,54.86,54.9,54.37,284.96K,-0.40%
06/03/2014,54.78,54.9,55.71,53.85,1.92M,-0.25%
06/02/2014,54.92,55.29,55.47,54.76,2.13M,0.00%
05/30/2014,54.92,55.26,55.76,54.71,5.39M,0.00%
05/29/2014,54.92,54.82,55.67,54.29,6.21M,0.66%
05/28/2014,54.56,56.25,56.25,54.43,3.71M,-3.00%
05/27/2014,56.25,56.24,56.73,56.24,1.92M,0.29%
05/26/2014,56.09,55.3,56.24,55.3,670.29K,1.10%
05/23/2014,55.48,55.31,55.58,55.14,118.04K,0.18%
05/22/2014,55.38,55.29,55.91,55.0,222.56K,0.67%
05/21/2014,55.01,55.49,55.72,54.95,970.85K,-1.27%
05/20/2014,55.72,56.01,56.14,55.53,1.48M,-0.78%
05/19/2014,56.16,55.05,56.25,54.81,3.77M,1.39%
05/16/2014,55.39,55.06,55.69,54.86,231.92K,0.64%
05/15/2014,55.04,56.26,56.62,54.92,923.53K,-2.74%
05/14/2014,56.59,56.92,56.92,56.44,300.56K,-0.44%
05/13/2014,56.84,56.3,57.21,56.3,1.20M,0.42%
05/12/2014,56.6,56.83,57.21,56.31,543.93K,-0.35%
05/09/2014,56.8,56.97,57.21,56.59,828.37K,0.53%
05/08/2014,56.5,57.4,57.4,56.25,247.52K,-0.46%
05/07/2014,56.76,55.58,57.68,55.58,2.37M,2.16%
05/06/2014,55.56,54.81,55.76,54.61,1.99M,1.35%
05/05/2014,54.82,54.81,54.93,54.47,615.17K,-0.18%
05/02/2014,54.92,55.74,55.74,54.72,1.32M,-0.56%
04/30/2014,55.23,54.37,55.53,53.17,9.94M,0.80%
04/29/2014,54.79,54.61,55.1,53.27,3.48M,1.86%
04/28/2014,53.79,51.53,53.79,51.11,2.15M,5.00%
04/25/2014,51.23,50.15,51.83,50.0,846.05K,1.51%
04/24/2014,50.47,50.24,50.53,50.1,724.89K,0.10%
04/23/2014,50.42,50.62,50.85,50.19,1.16M,0.10%
04/22/2014,50.37,50.57,50.72,50.05,841.89K,0.70%
04/21/2014,50.02,50.72,50.67,49.9,1.21M,-1.17%
04/18/2014,50.61,50.19,50.72,50.0,512.73K,1.20%
04/17/2014,50.01,50.48,50.48,49.9,1.84M,-0.42%
04/16/2014,50.22,50.72,50.78,50.11,2.36M,-0.59%
04/15/2014,50.52,51.73,51.92,51.44,1.94M,-2.11%
04/14/2014,51.61,51.92,51.92,51.44,470.09K,-0.42%
04/11/2014,51.83,52.41,52.66,51.54,993.21K,-1.29%
04/10/2014,52.51,52.88,53.17,52.39,1.97M,-0.32%
04/09/2014,52.68,52.28,53.33,52.11,1.75M,0.77%
04/08/2014,52.28,51.49,52.88,51.45,2.17M,0.83%
04/07/2014,51.85,51.45,51.92,51.15,579.81K,0.33%
04/04/2014,51.68,52.11,52.11,51.35,394.17K,-0.39%
04/03/2014,51.88,51.07,52.02,51.01,1.47M,1.13%
04/02/2014,51.3,51.06,51.44,50.86,721.25K,0.55%
04/01/2014,51.02,50.98,51.59,50.01,2.85M,-0.20%
03/31/2014,51.12,50.29,51.38,50.29,864.77K,1.45%
03/28/2014,50.39,51.54,51.55,49.99,2.11M,-2.42%
03/27/2014,51.64,51.25,51.87,51.06,780.01K,1.37%
03/26/2014,50.94,50.5,51.25,50.48,878.29K,0.32%
03/25/2014,50.78,50.23,50.96,50.23,1.40M,1.32%
03/24/2014,50.12,50.66,50.66,49.52,2.28M,-0.69%
03/21/2014,50.47,50.67,50.95,50.0,1.13M,-0.49%
03/20/2014,50.72,51.11,51.39,50.54,820.05K,-0.76%
03/19/2014,51.11,50.97,51.69,50.86,530.41K,0.16%
03/18/2014,51.03,51.63,51.63,50.72,660.41K,-0.25%
03/17/2014,51.16,51.44,52.4,50.72,3.13M,-0.45%
03/14/2014,51.39,51.89,52.38,50.86,2.12M,-0.10%
03/13/2014,51.44,51.61,51.82,50.82,2.41M,-3.65%
03/12/2014,53.39,54.52,54.52,52.69,6.84M,-2.22%
03/11/2014,54.6,56.37,56.63,53.99,6.58M,-3.14%
03/10/2014,56.37,56.73,57.69,56.24,2.88M,-0.67%
03/07/2014,56.75,57.22,57.22,56.57,1.23M,-0.63%
03/06/2014,57.11,55.29,57.67,55.29,3.63M,3.39%
03/05/2014,55.24,53.27,55.29,52.88,3.57M,4.31%
03/04/2014,52.96,52.6,53.12,52.29,3.26M,0.74%
03/03/2014,52.57,52.68,52.93,52.16,833.05K,0.08%
02/28/2014,52.53,53.04,53.85,51.92,4.28M,-1.54%
02/27/2014,53.35,53.51,53.64,53.28,470.61K,-0.28%
02/26/2014,53.5,53.85,54.34,53.12,1.33M,-0.63%
02/25/2014,53.84,53.89,54.33,53.65,2.27M,-0.04%
02/24/2014,53.86,52.85,53.99,52.85,2.50M,2.71%
02/21/2014,52.44,51.73,53.36,51.73,3.38M,0.44%
02/20/2014,52.21,53.75,53.75,51.46,7.64M,-3.58%
02/19/2014,54.15,56.09,56.25,54.15,9.09M,-5.00%
02/18/2014,57.0,59.61,60.24,57.0,6.43M,-4.98%
02/17/2014,59.99,60.12,60.67,59.57,982.81K,-0.20%
02/14/2014,60.11,60.1,60.53,60.0,378.57K,-0.36%
02/13/2014,60.33,61.04,61.23,60.07,715.53K,-0.98%
02/12/2014,60.93,60.14,61.22,60.14,596.45K,1.45%
